id,carat,price,cut__Astor Ideal,cut__Good,cut__Ideal,cut__Very Good,color__D,color__E,color__F,color__G,color__H,color__I,color__J,color__K,clarity__FL,clarity__IF,clarity__SI1,clarity__SI2,clarity__VS1,clarity__VS2,clarity__VVS1,clarity__VVS2,caratScaled
0,0.23,871,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
1,0.23,861,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
2,0.23,866,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
3,0.23,835,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
4,0.23,835,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
5,0.23,761,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
6,0.23,861,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
7,0.23,761,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
8,0.23,861,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
9,0.23,761,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
10,0.23,761,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
11,0.23,749,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
12,0.23,749,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23
13,0.23,593,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
14,0.23,578,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
15,0.23,541,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
16,0.23,588,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
17,0.23,578,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
18,0.23,637,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
19,0.23,598,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
20,0.23,651,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
21,0.23,651,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
22,0.23,615,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
23,0.23,606,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
24,0.23,745,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
25,0.23,609,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
26,0.23,603,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
27,0.23,611,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
28,0.23,642,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
29,0.23,689,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
30,0.23,615,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
31,0.23,621,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
32,0.23,626,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
33,0.23,679,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
34,0.23,657,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
35,0.23,615,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
36,0.23,627,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
37,0.23,601,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
38,0.23,547,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
39,0.23,651,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
40,0.23,584,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
41,0.23,696,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
42,0.23,679,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
43,0.23,615,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
44,0.23,657,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
45,0.23,657,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
46,0.23,722,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
47,0.23,679,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
48,0.23,679,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
49,0.23,615,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
50,0.23,689,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
51,0.23,615,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
52,0.23,604,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
53,0.23,630,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
54,0.23,598,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
55,0.23,635,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
56,0.23,630,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
57,0.23,630,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
58,0.23,536,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
59,0.23,573,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
60,0.23,598,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
61,0.23,573,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
62,0.23,559,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
63,0.23,600,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
64,0.23,611,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
65,0.23,695,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
66,0.23,695,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
67,0.23,516,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
68,0.23,516,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
69,0.23,516,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
70,0.23,516,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
71,0.23,516,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
72,0.23,516,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
73,0.23,516,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
74,0.23,609,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
75,0.23,455,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
76,0.23,491,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
77,0.23,512,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
78,0.23,574,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
79,0.23,569,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
80,0.23,595,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
81,0.23,495,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
82,0.23,566,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
83,0.23,595,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
84,0.23,518,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
85,0.23,499,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
86,0.23,569,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
87,0.23,547,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
88,0.23,492,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
89,0.23,548,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
90,0.23,545,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
91,0.23,477,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
92,0.23,478,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
93,0.23,540,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
94,0.23,572,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
95,0.23,477,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
96,0.23,583,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
97,0.23,477,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
98,0.23,558,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
99,0.23,536,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
100,0.23,541,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
101,0.23,467,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
102,0.23,547,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
103,0.23,567,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
104,0.23,542,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
105,0.23,544,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
106,0.23,558,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
107,0.23,542,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
108,0.23,521,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
109,0.23,495,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
110,0.23,571,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
111,0.23,595,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
112,0.23,558,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
113,0.23,529,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
114,0.23,564,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
115,0.23,567,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
116,0.23,578,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
117,0.23,539,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
118,0.23,469,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
119,0.23,542,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
120,0.23,483,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
121,0.23,572,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
122,0.23,631,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
123,0.23,615,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
124,0.23,493,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
125,0.23,567,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
126,0.23,515,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
127,0.23,542,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
128,0.23,467,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
129,0.23,504,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
130,0.23,501,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
131,0.23,554,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
132,0.23,472,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
133,0.23,527,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23
134,0.23,612,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
135,0.23,458,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
136,0.23,467,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
137,0.23,489,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
138,0.23,489,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
139,0.23,445,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
140,0.23,445,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
141,0.23,432,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
142,0.23,454,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
143,0.23,408,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
144,0.23,420,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
145,0.23,429,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
146,0.23,485,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
147,0.23,473,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
148,0.23,463,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
149,0.23,475,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
150,0.23,533,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
151,0.23,541,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
152,0.23,480,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
153,0.23,480,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
154,0.23,482,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
155,0.23,443,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
156,0.23,466,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
157,0.23,474,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
158,0.23,474,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
